Git Lecture 2,None,None,None,None
Final Scores,None,None,None,None
Rank,Players,Total Score (points),Correct Answers,Incorrect Answers
1.0,aehasan2,2003.0,2.0,0.0
2.0,zc29,1980.0,2.0,0.0
3.0,kanavb2,1978.0,2.0,0.0
4.0,jessep2,1973.0,2.0,0.0
5.0,ir5,1973.0,2.0,0.0
6.0,salqadi2,1960.0,2.0,0.0
7.0,pg12,1955.0,2.0,0.0
8.0,alyssaf5,1947.0,2.0,0.0
9.0,ams22,1943.0,2.0,0.0
10.0,mcy2,1940.0,2.0,0.0
11.0,isaacjs2,1938.0,2.0,0.0
12.0,jplacko2,1936.0,2.0,0.0
13.0,cdeng14,1908.0,2.0,0.0
14.0,davisp2,1903.0,2.0,0.0
15.0,sajay2,1902.0,2.0,0.0
16.0,lz15,1890.0,2.0,0.0
17.0,tw17,1867.0,2.0,0.0
18.0,Jk36,1866.0,2.0,0.0
19.0,nikilr2,1850.0,2.0,0.0
20.0,ncsmith2,1821.0,2.0,0.0
21.0,welby2,1820.0,2.0,0.0
22.0,yiminw3,1803.0,2.0,0.0
23.0,pnl2,1781.0,2.0,0.0
24.0,shreyab4,1777.0,2.0,0.0
25.0,weixia3,1768.0,2.0,0.0
26.0,arahim2,1765.0,2.0,0.0
27.0,jieshuh2,1753.0,2.0,0.0
28.0,zhans5,1740.0,2.0,0.0
29.0,keweis2,1735.0,2.0,0.0
30.0,zy26,1732.0,2.0,0.0
31.0,armaanm3,1713.0,2.0,0.0
32.0,yiyang19,1710.0,2.0,0.0
33.0,jihyeo2,1688.0,2.0,0.0
34.0,jz40,1613.0,2.0,0.0
35.0,linjial2,1437.0,2.0,0.0
36.0,battered duck,973.0,1.0,1.0
37.0,smvarma2,923.0,1.0,1.0
38.0,luo42,923.0,1.0,1.0
39.0,jflemi9,840.0,1.0,1.0
40.0,nrk4,755.0,1.0,1.0
41.0,ejr2,0.0,0.0,2.0
42.0,apillai5,0.0,0.0,2.0
